n	cost	search-status	sequence
3899	10	upper-bound	[<< 4, -1, << 2, +1, << 3, -1, << 2, +1, << 1, +1]
3900	7	upper-bound	[<< 4, -1, << 2, +1, << 4, -1, << 2]
3901	8	upper-bound	[<< 4, -1, << 2, +1, << 4, -1, << 2, +1]
3902	7	upper-bound	[<< 4, -1, << 2, +1, << 5, -1, << 1]
3903	6	upper-bound	[<< 4, -1, << 2, +1, << 6, -1]
3904	5	upper-bound	[<< 4, -1, << 2, +1, << 6]
3905	6	upper-bound	[<< 4, -1, << 2, +1, << 6, +1]
3906	7	upper-bound	[<< 4, -1, << 2, +1, << 5, +1, << 1]
3907	8	upper-bound	[<< 4, -1, << 2, +1, << 5, +1, << 1, +1]
3908	7	upper-bound	[<< 4, -1, << 2, +1, << 4, +1, << 2]
3909	8	upper-bound	[<< 4, -1, << 2, +1, << 4, +1, << 2, +1]
3910	9	upper-bound	[<< 4, -1, << 2, +1, << 4, +1, << 1, +1, << 1]
3911	8	upper-bound	[<< 4, -1, << 2, +1, << 3, +1, << 3, -1]
3912	7	upper-bound	[<< 4, -1, << 2, +1, << 3, +1, << 3]
3913	8	upper-bound	[<< 4, -1, << 2, +1, << 3, +1, << 3, +1]
3914	9	upper-bound	[<< 4, -1, << 2, +1, << 3, +1, << 2, +1, << 1]
3915	10	upper-bound	[<< 4, -1, << 2, +1, << 3, +1, << 2, +1, << 1, +1]
3916	9	upper-bound	[<< 4, -1, << 2, +1, << 3, +1, << 1, +1, << 2]
3917	10	upper-bound	[<< 4, -1, << 2, +1, << 3, +1, << 1, +1, << 2, +1]
3918	9	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 3, -1, << 1]
3919	8	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 4, -1]
3920	7	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 4]
3921	8	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 4, +1]
3922	9	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 3, +1, << 1]
3923	10	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 3, +1, << 1, +1]
3924	9	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 2, +1, << 2]
3925	10	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 2, +1, << 2, +1]
3926	11	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 2, +1, << 1, +1, << 1]
3927	10	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 1, +1, << 3, -1]
3928	9	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 1, +1, << 3]
3929	10	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 1, +1, << 3, +1]
3930	11	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 1, +1, << 2, +1, << 1]
3931	12	upper-bound	[<< 4, -1, << 2, +1, << 2, +1, << 1, +1, << 2, +1, << 1, +1]
3932	9	upper-bound	[<< 4, -1, << 2, +1, << 1, +1, << 3, -1, << 2]
3933	10	upper-bound	[<< 4, -1, << 2, +1, << 1, +1, << 3, -1, << 2, +1]
3934	9	upper-bound	[<< 4, -1, << 2, +1, << 1, +1, << 4, -1, << 1]
3935	8	upper-bound	[<< 4, -1, << 2, +1, << 1, +1, << 5, -1]
3936	7	upper-bound	[<< 4, -1, << 2, +1, << 1, +1, << 5]
3937	8	upper-bound	[<< 4, -1, << 2, +1, << 1, +1, << 5, +1]
3938	9	upper-bound	[<< 4, -1, << 2, +1, << 1, +1, << 4, +1, << 1]
3939	10	upper-bound	[<< 4, -1, << 2, +1, << 1, +1, << 4, +1, << 1, +1]
